Year Mo Da Ho Mi Se,Epicentral area,NMDP,Lat,Lon,Io,Mw
1849 01 06 02 40,Romagna Toscana,4,44.096,11.414,05/06/20,4.4
1849 06 18 06 25,Alpi Marittime,6,44.229,7.561,5,4.16
1849 06 23,Alpi Marittime,3,44.175,7.566,5,4.16
1849 11 28 18,Val di Taro,7,44.453,9.792,6,4.63
1850 09 18 06 20,Modenese,7,44.57,11.134,5,4.16
1851 02 05 09 50,Valtellina,30,46.157,9.768,5,4.72
1851 08 03,Valli Giudicarie,15,45.941,10.559,6,4.92
1852 07 29 12 30,Alta Engadina,,46.477,9.782,5,4.4
1852 07 28,Alta Engadina,,46.5,10,4,3.2
1853 05 17 15 17,Siena,1,43.318,11.332,04/05/20,3.93
1853 08 02,Val di Cecina,6,43.35,10.867,05/06/20,4.72
1854 06 16 13 25,Imola,9,44.353,11.714,5,4.57
1854 12 04 01,Senese,3,43.318,11.332,4,3.7
1857 02 01,Parmense-Reggiano,22,44.749,10.48,06/07/20,5.11
1859 04 12 03 28,Senese,24,43.326,11.306,6,4.46
1859 04 12 13 03,Senese,16,43.331,11.349,06/07/20,4.83
1860 07 17 13 43 31.00,Reggiano,5,44.743,10.793,04/05/20,3.93
1861 01 28 05 30,Santa Sofia,1,43.946,11.909,6,4.63
1861 03 16,Varese Ligure,2,44.377,9.592,6,4.63
1861 05 19,Asolano,2,45.736,11.92,6,4.63
1861 10 16,Romagna,10,44.233,12.121,06/07/20,5.13
1864 03 15,Zocca,13,44.337,11.059,06/07/20,4.84
1864 12 11 17 40,Mugello,9,44.042,11.282,7,5.11
1866 08 11 23,Monte Baldo,33,45.737,10.797,7,4.96
1866 09 22 14 40,Piemonte centro-meridionale,13,44.853,7.691,04/05/20,4.38
1867 11 01 16 15,Siena,1,43.318,11.332,5,4.16
1868 02 20 19 45,Monte Baldo,5,45.741,10.802,06/07/20,4.76
1868 05 22 21 15,Garda settentrionale,11,45.888,10.869,5,4.4
1869 02 07 04 52,Senese,5,43.336,11.333,05/06/20,4.4
1869 02 07,Senese,8,43.342,11.35,06/07/20,4.81
1869 06 25 13 58,Appennino bolognese,18,44.314,11.116,07/08/20,5.43
1869 09 26 20 45,Valdelsa,9,43.453,11.105,06/07/20,4.98
1869 12 13 02 53,Sassuolo,13,44.629,10.779,5,4.57
